                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4595,                  1.954,                 2.4061,                0.71732,                    0.8,                0.67418,                0.11769,                 3.2495,                   2.25,                 1.7757,                  6e-05,                  6e-05,                  6e-05
                      2,                 3.1992,                 1.7801,                 2.1313,                0.71869,                    0.8,                  0.678,                 0.1116,                 3.3546,                  2.219,                  1.823,             0.00013538,             0.00013538,             0.00013538
                      3,                  3.203,                 1.3465,                   2.02,                0.51323,                    0.6,                  0.398,                0.08343,                   3.46,                 2.0623,                 1.8834,             0.00020548,             0.00020548,             0.00020548
                      4,                 3.0401,                 1.1457,                 1.7941,                0.66398,                    0.8,                0.73711,                0.11563,                  3.455,                 1.5809,                 1.7671,              0.0002703,              0.0002703,              0.0002703
                      5,                 2.8585,                 1.1635,                 1.5641,                0.67808,                    0.8,                  0.736,                 0.1152,                 3.4498,                  1.425,                 1.6808,             0.00032984,             0.00032984,             0.00032984
                      6,                 2.7521,                 1.1683,                 1.6414,                0.69595,                    0.8,                  0.735,                0.12649,                 3.4324,                 1.4643,                 1.5867,              0.0003841,              0.0003841,              0.0003841
                      7,                  2.649,                 1.1609,                 1.5766,                0.49504,                    0.6,                0.38263,                0.07885,                 3.4474,                 1.5796,                 1.5125,             0.00043308,             0.00043308,             0.00043308
                      8,                  2.517,                 1.0872,                 1.5277,                0.32597,                    0.4,                0.18065,                 0.0542,                 3.4311,                 1.9375,                  1.428,             0.00047678,             0.00047678,             0.00047678
                      9,                 2.4358,                 1.1248,                 1.4351,                0.65426,                    0.8,                0.73479,                0.10819,                 3.2628,                 1.9358,                 1.3487,              0.0005152,              0.0005152,              0.0005152
                     10,                 2.4803,                 1.1548,                 1.4316,                0.65475,                    0.8,                0.73339,                0.10764,                 3.1759,                 1.8203,                 1.3095,             0.00054834,             0.00054834,             0.00054834
                     11,                 2.4424,                 1.1196,                 1.4122,                 0.6547,                    0.8,                0.73241,                0.10726,                 3.2902,                 1.8531,                 1.3478,              0.0005762,              0.0005762,              0.0005762
